Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Dosedel S.,Ljubicic I.,Dosedel S.,63,77,-1,-1,-1.0,-1.0,6-4 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Clement A.,Enqvist T.,Enqvist T.,56,5,-1,-1,-1.0,-1.0,3-6 3-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Escude N.,Baccanello P.,Escude N.,40,655,-1,-1,-1.0,-1.0,6-7 7-5 6-3
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Knippschild J.,Federer R.,Federer R.,87,65,-1,-1,-1.0,-1.0,1-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Fromberg R.,Woodbridge T.,Fromberg R.,81,198,-1,-1,-1.0,-1.0,7-6 5-7 6-4
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Arthurs W.,Gambill J.M.,Gambill J.M.,105,58,-1,-1,-1.0,-1.0,6-3 6-7 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Ilie A.,Grosjean S.,26,51,-1,-1,-1.0,-1.0,6-2 6-1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Balcells J.,Henman T.,Henman T.,218,11,-1,-1,-1.0,-1.0,4-6 6-7
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,Hewitt L.,24,129,-1,-1,-1.0,-1.0,6-3 2-6 6-1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Tebbutt M.,Lisnard J.,Lisnard J.,351,134,-1,-1,-1.0,-1.0,6-7 7-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Martin A.,Spadea V.,Martin A.,55,21,-1,-1,-1.0,-1.0,6-2 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Draper S.,Norman M.,Norman M.,155,15,-1,-1,-1.0,-1.0,4-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Petrovic D.,Huet S.,Petrovic D.,208,122,-1,-1,-1.0,-1.0,3-6 6-3 6-3
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Pozzi G.,Sekulov J.,Sekulov J.,79,142,-1,-1,-1.0,-1.0,4-6 6-2 2-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Hrbaty D.,Stoltenberg J.,84,20,-1,-1,-1.0,-1.0,6-3 6-1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Goldstein P.,Vinck C.,Vinck C.,88,227,-1,-1,-1.0,-1.0,6-3 3-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Federer R.,Enqvist T.,5,65,-1,-1,-1.0,-1.0,7-6 6-4
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Dosedel S.,Escude N.,Escude N.,63,40,-1,-1,-1.0,-1.0,6-7 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Grosjean S.,Gambill J.M.,Grosjean S.,26,58,-1,-1,-1.0,-1.0,3-6 7-6 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Lisnard J.,Henman T.,Henman T.,134,11,-1,-1,-1.0,-1.0,6-3 4-6 2-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Petrovic D.,Hewitt L.,24,208,-1,-1,-1.0,-1.0,6-0 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sekulov J.,Martin A.,Martin A.,142,55,-1,-1,-1.0,-1.0,6-7 6-7
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Norman M.,Fromberg R.,Norman M.,15,81,-1,-1,-1.0,-1.0,7-5 6-4
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vinck C.,Stoltenberg J.,Stoltenberg J.,227,84,-1,-1,-1.0,-1.0,6-3 4-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Enqvist T.,Grosjean S.,Enqvist T.,5,26,-1,-1,-1.0,-1.0,7-6 7-5
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Escude N.,Escude N.,11,40,-1,-1,-1.0,-1.0,3-6 1-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Stoltenberg J.,Hewitt L.,24,84,-1,-1,-1.0,-1.0,6-2 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Martin A.,Norman M.,Norman M.,55,15,-1,-1,-1.0,-1.0,4-6 3-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Enqvist T.,Norman M.,Enqvist T.,5,15,-1,-1,-1.0,-1.0,3-6 6-2 6-2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Escude N.,Hewitt L.,Hewitt L.,40,24,-1,-1,-1.0,-1.0,6-3 1-6 4-6
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,The Final,3,Hewitt L.,Enqvist T.,Hewitt L.,24,5,-1,-1,-1.0,-1.0,3-6 6-3 6-2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kumar S.,Agenor R.,Agenor R.,1198,94,-1,-1,-1.0,-1.0,4-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Behrend T.,Popp A.,Behrend T.,116,124,-1,-1,-1.0,-1.0,6-4 4-6 6-1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Rochus C.,Damm M.,Damm M.,120,104,-1,-1,-1.0,-1.0,3-6 0-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Delgado J.,Black B.,Delgado J.,162,67,-1,-1,-1.0,-1.0,6-2 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Spottl M.,Golmard J.,Golmard J.,200,38,-1,-1,-1.0,-1.0,3-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Hantschk M.,Tieleman L.,Hantschk M.,128,89,-1,-1,-1.0,-1.0,7-6 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kroslak J.,Jonsson F.,Jonsson F.,103,127,-1,-1,-1.0,-1.0,3-6 3-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ketola T.,Ogorodov O.,Ketola T.,163,135,-1,-1,-1.0,-1.0,7-5 4-6 6-4
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Zib T.,Manta L.,Manta L.,115,117,-1,-1,-1.0,-1.0,5-7 2-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Paes L.,Boutter J.,Paes L.,145,137,-1,-1,-1.0,-1.0,6-4 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ram A.,Pioline C.,Pioline C.,414,14,-1,-1,-1.0,-1.0,3-6 1-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Voinea A.,Sanguinetti D.,121,100,-1,-1,-1.0,-1.0,7-6 6-4
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kilderry P.,Stanoytchev O.,Stanoytchev O.,342,111,-1,-1,-1.0,-1.0,4-6 6-7
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tabara M.,Kafelnikov Y.,Tabara M.,125,2,-1,-1,-1.0,-1.0,6-4 6-2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ishii Y.,Vanek J.,Vanek J.,238,160,-1,-1,-1.0,-1.0,3-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Lopez-Moron A.,Vinciguerra A.,99,113,-1,-1,-1.0,-1.0,6-4 6-2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Agenor R.,Damm M.,Damm M.,94,104,-1,-1,-1.0,-1.0,6-4 2-6 1-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Delgado J.,Stanoytchev O.,Delgado J.,162,111,-1,-1,-1.0,-1.0,4-6 6-2 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Jonsson F.,Golmard J.,Golmard J.,127,38,-1,-1,-1.0,-1.0,2-6 3-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hantschk M.,Behrend T.,Hantschk M.,128,116,-1,-1,-1.0,-1.0,6-3 4-6 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vanek J.,Ketola T.,Ketola T.,160,163,-1,-1,-1.0,-1.0,6-4 4-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Manta L.,Tabara M.,Manta L.,117,125,-1,-1,-1.0,-1.0,6-4 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Paes L.,Pioline C.,Pioline C.,145,14,-1,-1,-1.0,-1.0,3-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sanguinetti D.,Vinciguerra A.,Sanguinetti D.,121,99,-1,-1,-1.0,-1.0,2-6 7-5 6-3
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Manta L.,Damm M.,Damm M.,117,104,-1,-1,-1.0,-1.0,4-6 4-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Golmard J.,Delgado J.,Golmard J.,38,162,-1,-1,-1.0,-1.0,6-3 6-4
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Ketola T.,Hantschk M.,Hantschk M.,163,128,-1,-1,-1.0,-1.0,7-5 5-7 2-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Pioline C.,Sanguinetti D.,Pioline C.,14,121,-1,-1,-1.0,-1.0,3-6 6-4 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Damm M.,Golmard J.,Golmard J.,104,38,-1,-1,-1.0,-1.0,6-3 3-6 3-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Hantschk M.,Pioline C.,Hantschk M.,128,14,-1,-1,-1.0,-1.0,6-4 2-6 7-6
Gold Flake Open,2000-01-03,International,Outdoor,Hard,The Final,3,Hantschk M.,Golmard J.,Golmard J.,128,38,-1,-1,-1.0,-1.0,3-6 7-6 3-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Bastl G.,Novak J.,Bastl G.,85,36,-1,-1,-1.0,-1.0,6-4 7-5
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Al-Alawi S.K.,Berasategui A.,Berasategui A.,-1,60,-1,-1,-1.0,-1.0,3-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Caratti C.,Heuberger I.,Caratti C.,211,219,-1,-1,-1.0,-1.0,7-6 4-6 6-4
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Arazi H.,Cherkasov A.,Cherkasov A.,35,206,-1,-1,-1.0,-1.0,2-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Dupuis A.,El Aynaoui Y.,33,78,-1,-1,-1.0,-1.0,4-6 6-3 6-2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Luxa P.,Gaudio G.,Gaudio G.,174,73,-1,-1,-1.0,-1.0,6-4 0-6 2-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kiefer N.,Tarango J.,Kiefer N.,6,59,-1,-1,-1.0,-1.0,7-6 7-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Puerta M.,Mirnyi M.,Mirnyi M.,101,74,-1,-1,-1.0,-1.0,5-7 2-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Santoro F.,Burgsmuller L.,Santoro F.,32,138,-1,-1,-1.0,-1.0,6-4 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Diaz J.,Schalken S.,Schalken S.,86,44,-1,-1,-1.0,-1.0,5-7 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Schuettler R.,Sanchez J.,Schuettler R.,47,285,-1,-1,-1.0,-1.0,6-2 7-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Siemerink J.,Squillari F.,Squillari F.,93,49,-1,-1,-1.0,-1.0,2-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tillstrom M.,Ivanisevic G.,Tillstrom M.,83,62,-1,-1,-1.0,-1.0,7-6 6-4
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vicente F.,Vacek D.,Vacek D.,50,39,-1,-1,-1.0,-1.0,6-0 3-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Bastl G.,Berasategui A.,Bastl G.,85,60,-1,-1,-1.0,-1.0,6-3 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Gaudio G.,El Aynaoui Y.,El Aynaoui Y.,73,33,-1,-1,-1.0,-1.0,4-6 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Caratti C.,Kiefer N.,6,211,-1,-1,-1.0,-1.0,6-1 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Marin J.A.,Mirnyi M.,Mirnyi M.,71,74,-1,-1,-1.0,-1.0,0-6 1-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Santoro F.,van Lottum J.,Santoro F.,32,69,-1,-1,-1.0,-1.0,7-6 6-1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Squillari F.,Schalken S.,Schalken S.,49,44,-1,-1,-1.0,-1.0,6-4 1-6 1-6
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Vacek D.,Schuettler R.,47,39,-1,-1,-1.0,-1.0,6-3 6-2
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Cherkasov A.,Tillstrom M.,Tillstrom M.,206,83,-1,-1,-1.0,-1.0,6-7 4-6
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,El Aynaoui Y.,Tillstrom M.,El Aynaoui Y.,33,83,-1,-1,-1.0,-1.0,7-5 6-3
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Kiefer N.,Kiefer N.,44,6,-1,-1,-1.0,-1.0,1-6 0-6
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Santoro F.,Bastl G.,Santoro F.,32,85,-1,-1,-1.0,-1.0,6-2 6-4
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Mirnyi M.,Schuettler R.,Schuettler R.,74,47,-1,-1,-1.0,-1.0,3-6 2-6
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Santoro F.,Kiefer N.,Santoro F.,32,6,-1,-1,-1.0,-1.0,7-5 6-4
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,El Aynaoui Y.,Schuettler R.,Schuettler R.,33,47,-1,-1,-1.0,-1.0,7-6 4-6 4-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Balcells J.,Squillari F.,Balcells J.,211,49,-1,-1,-1.0,-1.0,7-5 7-5
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Hantschk M.,Behrend T.,Behrend T.,95,115,-1,-1,-1.0,-1.0,2-6 2-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Chang M.,Black B.,Chang M.,50,70,-1,-1,-1.0,-1.0,7-5 4-6 7-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Federer R.,Ferrero J.C.,Ferrero J.C.,61,45,-1,-1,-1.0,-1.0,4-6 4-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Fromberg R.,Gambill J.M.,57,80,-1,-1,-1.0,-1.0,4-6 6-3 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sargsian S.,Gaudio G.,Gaudio G.,52,72,-1,-1,-1.0,-1.0,5-7 6-4 5-7
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gustafsson M.,Nielsen M.,Gustafsson M.,60,246,-1,-1,-1.0,-1.0,6-4 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Tarango J.,Haas T.,Haas T.,63,11,-1,-1,-1.0,-1.0,5-7 6-4 5-7
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Johansson T.,Weiner G.,Johansson T.,43,334,-1,-1,-1.0,-1.0,7-6 6-1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Berasategui A.,Martin A.,Martin A.,59,48,-1,-1,-1.0,-1.0,3-6 1-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Norman M.,Costa F.,Norman M.,14,149,-1,-1,-1.0,-1.0,7-5 6-4
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Novak J.,Novak J.,76,38,-1,-1,-1.0,-1.0,5-7 4-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Rosset M.,Vicente F.,Rosset M.,46,53,-1,-1,-1.0,-1.0,6-4 6-3
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Ivanisevic G.,Schalken S.,Schalken S.,68,37,-1,-1,-1.0,-1.0,1-6 6-4 4-6
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sell M.,Escude N.,Sell M.,167,34,-1,-1,-1.0,-1.0,0-6 7-6 6-1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Woodruff C.,van Lottum J.,van Lottum J.,56,66,-1,-1,-1.0,-1.0,1-6 3-6
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Balcells J.,Haas T.,Balcells J.,211,11,-1,-1,-1.0,-1.0,6-4 7-5
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Sell M.,Chang M.,Chang M.,167,50,-1,-1,-1.0,-1.0,6-4 4-6 6-7
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Martin A.,Ferrero J.C.,45,48,-1,-1,-1.0,-1.0,6-7 6-2 6-4
